"序號","公司代號","公司名稱","董事會決議日期","買回目的","買回股份總金額上限(依最新財報計算之法定上限)","預定買回股數","買回價格區間-最低","買回價格區間-最高","預定買回期間-起","預定買回期間-迄","是否執行完畢","買回達一定標準資料","本次已買回股數(空白為尚在執行中)","本次執行完畢已註銷或轉讓股數","本次已買回股數佔預定買回股數比例(%)(空白為尚<br>在執行中)","本次已買回總金額(空白為尚在執行中)","本次平均每股買回價格(空白為尚在執行中)","本次買回股數佔公司已發行股份總數比例(%)(空白為尚在執行中)","本次未執行完畢之原因"
"53","3607","谷崧","2016/11/10","3",4607738319,5000000,30.00,45.00,"2016/11/11","2017/01/10","Y","查詢",3489000,3489000,69.78,112573000,32.27,2.79,"為維護股東權益並兼顧市場機制，本公司視股價變化及成交量狀況，採行分批買回策略，故未執行完畢。"
"54","6164","華興","2016/11/10","3",324737096,10000000,8.50,18.00,"2016/11/10","2017/01/09","Y","查詢",10000000,10000000,100.00,141139842,14.11,9.09,""
"55","2107","厚生","2016/11/11","3",6314658501,20000000,13.00,18.00,"2016/11/14","2017/01/13","Y","查詢",8600000,8600000,43.00,133338131,15.50,1.98,"本公司視交易市場成交量及股價變化暨考量資金之有效運用，為維護整體股東權益，故未執行完畢。"
"56","4916","事欣科","2016/11/11","1",432986496,1000000,32.00,45.00,"2016/11/14","2017/01/10","Y","查詢",100000,"",10.00,3356572,33.57,0.14,"為維護股東權益並兼顧市場機制，本公司視股價變化及成交量狀況，採行分批買回策略，故未執行完畢。"
"57","6005","群益證","2016/11/11","3",7356003535,100000000,7.50,11.90,"2016/11/14","2017/01/13","Y","查詢",100000000,100000000,100.00,926587260,9.27,4.41,""
"58","4306","炎洲","2016/11/21","1",2330718000,10000000,11.00,16.00,"2016/11/22","2017/01/21","Y","查詢",10000000,10000000,100.00,126154667,12.62,2.22,""
"59","4137","麗豐-KY","2016/11/29","1",2867350345,1500000,130.00,180.00,"2016/11/30","2017/01/29","Y","查詢",797000,"",53.13,116562738,146.25,1.00,"為兼顧市場機制不影響股價，本公司視股價變化及成交量狀況採行分批買回策略，故未執行完畢。"
"60","6456","GIS-KY","2016/12/06","1",8268455999,5000000,63.00,136.00,"2016/12/07","2017/02/06","Y","查詢",3000000,3000000,60.00,269929200,89.98,0.97,"本公司基於維護股東權益與兼顧市場機制，並考量後續資金運用，故未予以執行完畢。"
"61","1437","勤益控","2016/12/08","3",414463024,1200000,11.00,23.00,"2016/12/09","2017/02/07","Y","查詢",1200000,1200000,100.00,20316380,16.93,0.61,""
"62","2492","華新科","2016/12/13","1",7799383000,1000000,35.00,40.00,"2016/12/14","2017/02/13","Y","查詢",1000000,"",100.00,36382117,36.38,0.19,""
"63","2636","台驊投控","2016/12/13","3",1084924105,6000000,15.00,25.00,"2016/12/13","2017/01/12","Y","查詢",2364000,2364000,39.40,51610776,21.83,1.99,"維護股東權益"
"64","2636","台驊投控","2016/12/13","1",1084924105,2000000,15.00,25.00,"2017/01/13","2017/02/12","Y","查詢",1361000,"",68.05,28785357,21.15,1.14,"為顧及股東權益及兼顧員工意願"
"65","6191","精成科","2016/12/15","3",5282037000,8000000,10.00,15.00,"2016/12/16","2017/02/15","Y","查詢",8000000,8000000,100.00,103032096,12.88,1.51,""
"66","4532","瑞智","2016/12/19","1",2803799198,5000000,28.00,35.00,"2016/12/20","2017/02/19","Y","查詢",2544000,2544000,50.88,79381226,31.20,0.53,"為兼顧協調市場機制，有效資金運用，故未全數買回"
"67","2353","宏碁","2016/12/20","3",35447576845,100000000,10.00,19.00,"2016/12/21","2017/02/20","Y","查詢",0,"",0.00,0,0.00,0.00,"執行期間股價未有劇烈波動，因此並無執行庫藏股以維護公司信用及股東權益之必要，故未全數執行完畢。"
"68","6269","台郡","2016/12/20","1",12541138479,9000000,65.00,115.00,"2016/12/21","2017/02/20","Y","查詢",1627000,1627000,18.08,145039802,89.15,0.56,"本公司基於維護股東權益與兼顧市場機制、並考量資金效益，故本次庫藏股未能執行完畢。"
"69","2405","浩鑫","2016/12/21","3",219483000,10000000,6.50,12.00,"2016/12/22","2017/02/21","Y","查詢",10000000,6200000,100.00,87903630,8.79,2.89,""
"70","2514","龍邦","2016/12/22","3",2628978000,20000000,12.00,25.00,"2016/12/23","2017/02/22","Y","查詢",7560000,7560000,37.80,122149562,16.16,1.49,"為兼顧市場機制不影響股價，本公司視股價變化及成交量狀況採行分批買回策略，故未執行完畢。"
"71","2841","台開","2016/12/22","1",1151333588,10000000,9.00,12.00,"2017/01/06","2017/02/21","Y","查詢",4000000,4000000,40.00,41736145,10.43,0.53,"因股價尚屬穩定,為兼顧市場及有效運用資金,故未予以執行完畢"
"72","2327","國巨","2016/12/23","3",18769376943,30000000,40.00,87.80,"2016/12/26","2017/02/24","Y","查詢",18349000,18349000,61.16,1294349920,70.54,3.55,"為維護整體股東權益及考量資金有效運用，致本次未執行完畢。"
"73","1446","宏和","2016/12/27","3",410167156,2000000,14.00,20.00,"2017/01/03","2017/02/24","Y","查詢",0,"",0.00,0,0.00,0.00,"買回區間股價穩定，故將資金運用於提升營運效益，以維護股東權益"
"74","1707","葡萄王","2017/01/03","1",2813161190,3000000,118.00,349.50,"2017/01/04","2017/03/03","Y","查詢",508000,"",16.93,91061773,179.26,0.38,"基於資金有效運用及維護股東權益並兼顧市場機制，本公司視股價變化及成交量狀況，採行分批買回策略，故未執行完畢。"
"75","3038","全台","2017/01/05","3",223219742,5500000,7.00,13.00,"2017/01/05","2017/03/03","Y","查詢",5500000,5500000,100.00,59742546,10.86,2.82,""
"76","2101","南港","2017/01/10","1",948653000,4300000,28.50,32.00,"2017/01/11","2017/03/10","Y","查詢",4300000,"",100.00,132563334,30.83,0.52,""
"77","3060","銘異","2017/01/19","1",2683699743,3500000,28.00,40.00,"2017/01/23","2017/03/17","Y","查詢",2248000,"",64.23,81342624,36.18,1.29,"為維護股東權益並兼顧市場機制，本公司視股價變化及成交量狀況，採行分批買回策略，因而未依原預定數量全數買回。"
"78","3698","隆達","2017/01/19","3",6963900000,20000000,12.00,20.00,"2017/01/20","2017/03/17","Y","查詢",20000000,20000000,100.00,298029562,14.90,3.56,""
"79","2478","大毅","2017/01/20","1",2374127140,10000000,15.50,29.50,"2017/01/23","2017/03/22","Y","查詢",8142000,4006000,81.42,198693697,24.40,4.64,"為兼顧市場機制及考量資金有效運用，本公司視股價變化及成交量狀況採分批買回策略，另適逢農曆春節年假，致本次未執行完畢。"
"80","9919","康那香","2017/01/20","1",831672554,5000000,7.70,16.40,"2017/01/23","2017/03/22","Y","查詢",10000,10000,0.20,109090,10.91,0.01,"為維護股東權益及兼顧市場機制，視股價變化及成交量狀況採行分批買回策略，故未執行完畢。"
"81","3296","勝德","2017/01/23","3",666480181,5000000,9.60,20.10,"2017/01/24","2017/03/23","Y","查詢",5000000,5000000,100.00,89837190,17.97,4.84,""
"82","2107","厚生","2017/02/03","3",6401372314,10000000,13.00,18.00,"2017/02/06","2017/04/05","Y","查詢",2778000,2778000,27.78,48543543,17.47,0.65,"本公司庫藏股執行期間股價幾乎都維持在17元至18元上限間，並無大幅異動，基於考量財務資金有效運用及維護股東之權益，致本次未能按預定數量買回。"
"83","3055","蔚華科","2017/02/10","3",1573871000,10000000,16.00,26.00,"2017/02/13","2017/04/12","Y","查詢",5976000,5976000,59.76,98066487,16.41,5.77,"視資本市場整體行情及環境，並兼顧市場交易機制及維護整體股東權益，故未能執行完畢。"
"84","3038","全台","2017/02/20","3",223219742,6000000,8.50,12.00,"2017/02/20","2017/04/19","Y","查詢",6000000,6000000,100.00,68639479,11.44,3.17,""
"85","2841","台開","2017/02/21","1",1151333588,10000000,11.00,13.00,"2017/02/22","2017/04/20","Y","查詢",3236000,3236000,32.36,35654372,11.02,0.43,"因股價尚屬穩定,為兼顧市場及有效運用資金,故未予以執行完畢"
"86","1626","艾美特-KY","2017/03/03","1",1335882669,600000,18.35,39.00,"2017/03/06","2017/05/05","Y","查詢",316000,316000,52.67,9352271,29.60,0.26,"為兼顧市場機制不影響股價，本公司視股價變化及成交量狀況採行分批買回策略，故未執行完畢。"
"87","2327","國巨","2017/03/03","3",18769376943,30000000,52.20,109.30,"2017/03/06","2017/05/05","Y","查詢",3392000,3392000,11.31,323187384,95.28,0.67,"為維護整體股東權益及考量資金有效運用，致本次未執行完畢。"
"88","2514","龍邦","2017/03/08","3",2628978000,10000000,11.00,24.00,"2017/03/09","2017/05/05","Y","查詢",5481000,5481000,54.81,89411751,16.31,1.10,"為兼顧市場機制不影響股價，本公司視股價變化及成交量狀況採行分批買回策略，故未執行完畢。"
"89","9802","鈺齊-KY","2017/03/08","1",3594111057,500000,60.00,70.00,"2017/03/15","2017/04/14","Y","查詢",500000,500000,100.00,32823654,65.65,0.36,""
"90","3698","隆達","2017/03/09","3",6963900000,35000000,12.00,22.00,"2017/03/10","2017/05/09","Y","查詢",35000000,35000000,100.00,651323474,18.61,6.40,""
"91","3661","世芯-KY","2017/03/10","3",1653288810,2000000,28.88,57.54,"2017/03/13","2017/05/09","Y","查詢",0,"",0.00,0,0.00,0.00,"考量庫藏股買回期間股價變化及實際成交量，本公司需顧及市場機制及維護股東權益，故未執行完畢。"
"92","4737","華廣","2017/03/13","1",1638258079,2000000,55.00,75.00,"2017/03/14","2017/04/02","Y","查詢",2000000,"",100.00,138140940,69.07,3.15,""
"93","4737","華廣","2017/03/13","3",1638258079,4000000,55.00,75.00,"2017/04/03","2017/05/12","Y","查詢",2550000,2550000,63.75,183989049,72.15,4.02,"為兼顧市場機制，並維護股東權&#64023;，本公司視股價變化採分批買回及部分交易日之股價大於買回區間上限，故本次庫藏股未能執&#64008;完畢。"
"94","2365","昆盈","2017/03/15","3",1207480475,5000000,8.00,13.50,"2017/03/16","2017/05/14","Y","查詢",5000000,5000000,100.00,45493983,9.10,1.80,""
"95","3041","揚智","2017/03/17","1",2214586249,3100000,13.50,24.15,"2017/03/20","2017/05/19","Y","查詢",3100000,1127459,100.00,46949741,15.15,1.02,""
"96","6414","樺漢","2017/03/27","1",4384554877,1500000,388.00,500.00,"2017/03/27","2017/05/26","Y","查詢",1000000,345000,66.67,356652934,356.65,1.31,"為有效運用資金，故未予以執行完畢"
"97","2206","三陽工業","2017/03/28","3",3207420245,40000000,15.00,32.00,"2017/03/29","2017/05/26","Y","查詢",11449000,11449000,28.62,244540531,21.36,1.30,"本次未執行完畢之原因：為維護股東權益及兼顧市場機制，視股價變化及成交量狀況採行分批買回策略，故未執行完畢。"
"98","3321","同泰","2017/03/28","1",367205487,2000000,11.00,22.00,"2017/03/29","2017/05/28","Y","查詢",93000,93000,4.65,1334567,14.35,0.10,"為維護股東權益，並考量後續資金運用之效益，故未予以執行完畢。"
